,word,count,percent_of_words,percent_of_restaurants,category
0,Restaurant,19,0.033391915641476276,0.08837209302325581,places
1,Kitchen,17,0.029876977152899824,0.07906976744186046,places
2,House,13,0.022847100175746926,0.06046511627906977,places
3,Chinese,13,0.022847100175746926,0.06046511627906977,other
4,Shanghai,12,0.0210896309314587,0.05581395348837209,province
5,Noodle,10,0.01757469244288225,0.046511627906976744,food
6,China,9,0.015817223198594025,0.04186046511627907,province
7,New,7,0.012302284710017574,0.03255813953488372,other
8,Dumpling,6,0.01054481546572935,0.027906976744186046,other
9,Village,6,0.01054481546572935,0.027906976744186046,places
10,Wok,6,0.01054481546572935,0.027906976744186046,other
11,Taste,5,0.008787346221441126,0.023255813953488372,tastes
12,Cuisine,5,0.008787346221441126,0.023255813953488372,food
13,Garden,5,0.008787346221441126,0.023255813953488372,places
14,Dim,5,0.008787346221441126,0.023255813953488372,other
15,Noodles,5,0.008787346221441126,0.023255813953488372,food
16,Wah,4,0.007029876977152899,0.018604651162790697,other
17,Chelsea,4,0.007029876977152899,0.018604651162790697,other
18,Asian,4,0.007029876977152899,0.018604651162790697,other
19,Golden,4,0.007029876977152899,0.018604651162790697,precious metal
20,King,4,0.007029876977152899,0.018604651162790697,royalty
21,Bar,4,0.007029876977152899,0.018604651162790697,places
22,Spicy,4,0.007029876977152899,0.018604651162790697,tastes
23,Soup,4,0.007029876977152899,0.018604651162790697,food
24,Bao,4,0.007029876977152899,0.018604651162790697,food
25,West,4,0.007029876977152899,0.018604651162790697,direction
26,Hunan,4,0.007029876977152899,0.018604651162790697,province
27,Xiao,3,0.005272407732864675,0.013953488372093023,other
28,Nan,3,0.005272407732864675,0.013953488372093023,other
29,Long,3,0.005272407732864675,0.013953488372093023,other
30,Dumplings,3,0.005272407732864675,0.013953488372093023,food
31,Moon,3,0.005272407732864675,0.013953488372093023,other
32,Hop,3,0.005272407732864675,0.013953488372093023,other
33,Joy,3,0.005272407732864675,0.013953488372093023,other
34,Xi’an,3,0.005272407732864675,0.013953488372093023,other
35,Rice,3,0.005272407732864675,0.013953488372093023,food
36,Fun,3,0.005272407732864675,0.013953488372093023,other
37,Chef,3,0.005272407732864675,0.013953488372093023,other
38,Grand,3,0.005272407732864675,0.013953488372093023,royalty
39,Ho,3,0.005272407732864675,0.013953488372093023,other
40,Szechuan,3,0.005272407732864675,0.013953488372093023,other
41,Sum,3,0.005272407732864675,0.013953488372093023,other
42,Joe’s,3,0.005272407732864675,0.013953488372093023,other
43,Foods,2,0.0035149384885764497,0.009302325581395349,food
44,Mr,2,0.0035149384885764497,0.009302325581395349,other
45,One,2,0.0035149384885764497,0.009302325581395349,other
46,Sichuan,2,0.0035149384885764497,0.009302325581395349,province
47,Tasty,2,0.0035149384885764497,0.009302325581395349,tastes
48,Big,2,0.0035149384885764497,0.009302325581395349,other
49,Hardee,2,0.0035149384885764497,0.009302325581395349,other
50,Hao,2,0.0035149384885764497,0.009302325581395349,other
51,Wu,2,0.0035149384885764497,0.009302325581395349,family name
52,Lucky,2,0.0035149384885764497,0.009302325581395349,other
53,Xiang,2,0.0035149384885764497,0.009302325581395349,other
54,Kong,2,0.0035149384885764497,0.009302325581395349,other
55,Lin,2,0.0035149384885764497,0.009302325581395349,family name
56,Lee,2,0.0035149384885764497,0.009302325581395349,other
57,Wan,2,0.0035149384885764497,0.009302325581395349,other
58,Fresh,2,0.0035149384885764497,0.009302325581395349,tastes
59,North,2,0.0035149384885764497,0.009302325581395349,direction
60,Club,2,0.0035149384885764497,0.009302325581395349,other
61,You,2,0.0035149384885764497,0.009302325581395349,other
62,Project,2,0.0035149384885764497,0.009302325581395349,other
63,Palace,2,0.0035149384885764497,0.009302325581395349,royalty
64,Wong,2,0.0035149384885764497,0.009302325581395349,other
65,Tri,2,0.0035149384885764497,0.009302325581395349,other
66,Tim,2,0.0035149384885764497,0.009302325581395349,other
67,Town,2,0.0035149384885764497,0.009302325581395349,places
68,Dynasty,2,0.0035149384885764497,0.009302325581395349,royalty
69,Uncle,2,0.0035149384885764497,0.009302325581395349,other
70,East,2,0.0035149384885764497,0.009302325581395349,direction
71,Steam,2,0.0035149384885764497,0.009302325581395349,other
72,Hot,2,0.0035149384885764497,0.009302325581395349,tastes
73,Chow,2,0.0035149384885764497,0.009302325581395349,other
74,Pot,2,0.0035149384885764497,0.009302325581395349,food
75,Old,2,0.0035149384885764497,0.009302325581395349,other
76,Bowl,2,0.0035149384885764497,0.009302325581395349,other
77,Dragon,2,0.0035149384885764497,0.009302325581395349,animals
78,Chin,2,0.0035149384885764497,0.009302325581395349,other
79,Hannah,1,0.0017574692442882249,0.004651162790697674,other
80,Oriental,1,0.0017574692442882249,0.004651162790697674,other
81,Lan,1,0.0017574692442882249,0.004651162790697674,other
82,Pulled,1,0.0017574692442882249,0.004651162790697674,other
