,restaurant_names
0,Asian Cafe
1,Saketumi Asian Bistro
2,Buddakan
3,Nan Xiang Xiao Long Bao - Flushing
4,Nyonya
5,Dim Sum Palace
6,Han Dynasty
7,Shu Jiao Fu Zhou
8,Blue Willow 夜来湘
9,Szechuan Mountain House
10,CHILI
11,Kings Co Imperial
12,Strange Flavor Burger Shack
14,Ma LaLa
15,Lao Bei Fang Dumpling House
17,JiangNan 江南食府
18,Antidote
19,Uncle Lou
20,Grand Sichuan
21,Shanghai Zhen Gong Fu
22,Good Chinese Restaurant
23,Queens Seafood Restaurant
24,China Express
25,Song’s Dumplings Cafe
28,Joe’s Shanghai
29,Uluh
30,Spy C Cuisine
31,Wei Williamsburg
32,Lucky House Kitchen
34,PACIFIC MOON
35,Taste of China
36,King Wah Restaurant
37,Ocean Bay Seafood Restaurant
38,Old Captain Dumpling
40,3 Times
41,Win Son
42,Birds of a Feather
43,East Ocean Palace
44,Shun Wang
45,Wong Kwong Hop
46,The Monkey King
47,Golden Harbor
48,Shan
49,Lin’s Garden
50,Yummy Yummy Chinese Restaurant
55,Mr. Sun
56,Potluck Club
57,Caridad China
58,Hong Kong Express
59,Chef Huang Jian Bing & Peking Duck
60,Delicious Wok
61,Beijing Chinese & Japanese Food
62,Nangma Restaurant
63,Li Wan Restaurant
67,Wah Fung No 1
68,Kong Sihk Tong 港食堂
69,Red Peony Chinese Cuisine
70,Ling Long Xuan Restaurant
71,Danny’s Szechuan Garden
72,Wenwen
73,Ma Kin
74,Juqi
75,Lee’s Restaurant
76,Jade Bamboo
80,The Bao
81,Taiwanese Gourmet
82,Bund Dumpling House
83,Peking BBQ
84,Memories of Shanghai
85,Xing’s Chef
86,Asia
87,New Sze’s Garden
88,Ye Garden
89,Hong Kong Chinese Restaurant
90,Lucky Chen
93,Soup Dumpling Plus
94,Little Alley
95,Noodlecraft
96,Sweet Yummy House
97,Ivory Kitchen
98,Chick It Out
99,Hua Rong Chinese Restaurant
100,King’s Wok
101,Wan’s Garden
102,Lucky Chinese Restaurant
106,River House Chinese Cuisine
107,Q Town Asian Cuisine Inc 乡缘闽台海鲜
108,A-Pou’s Taste
109,Shoo Loong Kan
110,Mr Chen
111,China Garden
112,Hong Kong Cafe
113,Green Leaf
114,Fong Kwan Kitchen
115,Moon Palace Kitchen
119,Chef Wang
121,Beijing Dumpling House
122,Jaew Hon New York
123,Fairview Chinese Restaurant
124,J J Chan’s Garden
125,Monarch Restaurant
126,Joyo Asian
127,Golden Dragon Kitchen
128,Astoria Dragon and Phoenix
132,Tri Dim Shanghai
133,Co Co Lin Vegetarian House
134,Jardin De China
135,Sei Less
136,Bonnie’s
137,Thai Mission
138,Mr Bao
139,Randy’s Chinese Food
140,Hardee
145,Café China
146,China Xiang 中国湘
147,Fatima’s Halal Kitchen
148,Hunan Delight
149,New Cottage
150,Wing Cheong Restaurant
151,Chalong
152,New Sweet Rice Kitchen
153,Dumpling Town
154,Big Apple
158,Hao Noodle - West Village
159,Hao Noodle Chelsea
160,Eim Khao Mun Kai Elmhurst
161,Xi’an Famous Foods
162,Trinidad Golden Place Restaurant
163,53 NYC
164,Chiko
165,Peking Express
166,New Hardee Chinese Restaurant
167,Great Wall Chinese Restaurant
171,Yummy Noodle House 粥麵之家
172,Kum Kau
173,Alley 41
174,Dock Asian Eatery
175,Good Luck Kitchen
176,Hong Kong Taste
177,Jiang Nan
178,Chi Restaurant & Bar
179,New China Wok Chinese Kitchen
180,Silky Kitchen
184,Pye Boat Noodle
185,Decoy
186,Red Bowl
187,New Peking
188,Lhasa Liang Fen
189,Asian Kitchen
190,Mr. Wonton
191,Golden House Kitchen
192,Chen Yuan Chinese Food
193,Grand China
197,Shanghai You Garden
198,Vanessa’s Dumpling House
199,Mala Project
200,Auntie Guan’s Kitchen
201,The Tang - Upper West Side
202,Asian Fortune Restaurant
203,New Fu Run Restaurant
204,Hardee On Utica
210,Congee Village
211,East Harbor Seafood Palace
212,Cheng Du Chinese Cuisine
213,Ho Foods
214,Keming Restaurant
215,Hutaoli Music Restaurant & Bar
216,Le Sia
217,Don Chingri
218,Hang Shing Kitchen
219,Yang Kee 1 Chinese
223,MáLà Project
224,Tuome
225,Buntopia
226,Cheli
227,A Shen Zhou Restaurant
228,Food Sing
229,Great Wall Restaurant
230,Lin & Daughters
231,King Wok Restaurant
232,Jing Li
236,M Shanghai Bistro & Garden
237,The Bund
238,New Golden Star
239,Lotus + Cleaver
240,Delicis Legend Chinese cuisine
241,Xiao Chuan Dian
242,Gum How Kitchen
243,Hunan K Restaurant
244,Lucky Garden
245,Chang Hong Chinese Restaurant
250,Food King Kitchen
251,Pecking House
252,Lin’s Kitchen
253,Jiang’s Kitchen
254,The Orchard Room
255,Yip Szechuan Gourmet
256,Vybes 109
257,China House
258,Jing Fu House
262,Mama Lee
263,Joe’s Home of Soup Dumplings
264,Hui Restaurant & Bar
265,LaoMa Spicy
266,New Apolo
267,Xu’s Public House
268,Friendly Restaurant
270,Taste of China Brooklyn
271,City Island Chinese Restaurant
276,Hutong
277,Double Happiness Palace
278,Beijing House
280,Panda Garden Restaurant
281,Double Happy
282,Super Bowl
283,Double Chinese Restaurant
284,New Lin Wang
287,Nan Xiang Express
288,Klom Klorm
289,LN1380
290,Little Pepper
291,DunHuang Miss Noodles
292,Sun Wah Restaurant
293,Wing Wah Restaurant
295,Jia Dim Sum
297,New China Restaurant
301,Taste Good Malaysian Cuisine
302,Nan Xiang Xiao Long Bao - Manhattan
